번호	recipeName	ingredients
291	완자된장국	감자 애호박 쪽파 양파 부추 두부 대파 고추 표고버섯 당면 숙주 브로콜리 돼지고기 양념 마늘 녹말가루 된장 날콩가루
292	산나물된장찌개	곤드레나물 고구마순 취나물 애호박 양파 청양고추 대파 순두부 저염재래된장 콩백태 표고버섯 저염된장 날콩가루 육수 물 멸치 다시마 양념 마늘 고춧가루 들깻가루
293	토마토요구르트된장국	표고버섯 팽이버섯 양송이 새송이버섯 양파 대파 청양고추 토마토 된장양념 콩가루 요구르트 저염된장 육수 멸치 다시마 물 양념 마늘 고춧가루 들깻가루
294	굴림만두된장국	풋고추 붉은 고추 애호박 팽이버섯 두부 굴림만두 새송이버섯 닭가슴살 양파 마늘 부추 두부 간장 녹말가루 밀가루 육수 돼지고기앞다리살 무 양파 대파 저염된장 물
295	해물순두부된장찌개	바지락 주꾸미 마른 미역 마른 표고버섯 순두부 대파 육수 멸치 양념 된장 콩가루
296	곤약함박스테이크	새송이버섯 가지 브로콜리 양파 파프리카 방울토마토 아스파라거스 올리브유 어린잎채소 스테이크반죽 곤약 두부 쇠고기 양파 당근 셀러리 마늘 대파 맛술 찹쌀가루 빵가루 달걀 유자청간장소스 유자청 저염간장 물
297	아몬드치킨볼	양송이버섯 버터 닭다리살 닭가슴살 아몬드 밀가루 우유 들깻가루 브로콜리 마늘 육수 닭뼈 양파 양송이버섯 밑동 마늘
298	양배추롤	현미 멥쌀 다시마 새우가루 양배추 얇게 썬 쇠고기부채살 송송 썬 붉은 고추 달래무침 달래 간장 참기름
299	생선베이컨말이	피망 파프리카 시금치 저염베이컨 동태포 저염버터 생크림 새싹채소
300	콩고기샐러드	콩고기 아보카도 바나나 가지 연근 방울토마토 만두피 저염간장양념 저염간장 물 설탕 허브오일드레싱 저염소금 식초 로즈마리 통후추 올리브유 꿀
301	퀴노아닭가슴살샐러드	수박껍질 토마토 닭가슴살 감자 가지 양파 피망 아스파라거스 퀴노아 리코타치즈 양상추 플레인 요구르트 어린잎채소 복분자소스 복분자 레몬즙
302	바나나크림파스타	바나나 아보카도 토마토 저염베이컨 바질가루 마늘 양파 휘핑크림 저염치즈 우유 스파게티면
303	산채쌀파스타	신선초 참나물 취나물 적겨자 깻잎 양파 오이 붉은 고추 풋고추 쌀파스타면 파스타소스 된장 청국장 양파 애호박 으깬 두부 마늘 들기름
304	황태포당면국수	감자 양파 당근 대파 청양고추 팽이버섯 달걀 당면 쑥갓 육수 멸치 황태포 양념 마늘 저염간장
305	닭갈비볶음면	마늘 깻잎 쪽파 파프리카 양파 대파 방울토마토 닭가슴살 이태리시즈닝 라면 양념 카레가루 고춧가루 고추장 참기름
306	오색볶음면	양파 청경채 두 가지 색 파프리카각 씩 쪽파 라면 채 썬 돼지고기 양념 마늘 고추기름 설탕 두반장 라면스프
307	로제소스라면	새우 조개 홍합 새송이버섯 양파 토마토 라면 우유 생크림 월계수잎 정향 파르메산 치즈가루 파슬리가루
308	라면월남쌈튀김	라면 배 파인애플 파프리카 쇠고기우둔살 레드와인 매실청 라이스페이퍼 달걀 빵가루 어린잎채소 쇠고기 양념장 생강즙 저염간장 물 양파 파 마늘
309	삼겹살라면	라면 쪽파 육수 돼지고기삼겹살 대파 얇게 썬 생강 가다랑어포 조림양념 저염간장 맛술 흑설탕
310	유자샐러드라면	라면 양상추 케일 파프리카 비타민 유자드레싱 식초 레몬즙 유자청 올리브유
311	토마토라면	애호박 양파 청양고추 대파 토마토 라면스프 라면 육수 다시마 멸치 무 물
312	토마토샐러드라면	양상추 치커리 굵은 면발 라면 삶은 닭가슴살 방울토마토 파슬리가루 소스 설탕 식초 레몬즙 저염간장 마늘 토마토 양파 올리브유
313	검은깨라면크로켓	검은깨 빵가루 라면 달걀 녹말가루 쇠고기 땅콩 어린잎채소 방울토마토 소스 통계피 생강 조청 물엿 흑설탕 발사믹드레싱 발사믹식초 올리브유
314	김말이두부스테이크	두부 김 허브소금 소 양파 표고버섯 새송이버섯 밀가루 흰후추 곁들이채소 고구마 단호박 양파 아스파라거스 레드와인소스 레드와인 토마토 마늘 버터 올리브유 허브소금 발사믹식초
315	연어롤샐러드	연어 단호박 방울토마토 시금치 영양부추 소스 잣 더덕 마늘 식초 올리브오일
316	비타민이유식	멜론 브로콜리 감자 요거트 설탕
317	한입꼬치구이	통삼겹 고구마 대파 가지색 미니파프리카 청피망 양송이 건고추 어간장 통후추 로즈마리 마늘기름 소스 오렌지주스 레몬즙 올리고당 후추
318	간장곤약볶음국수	곤약국수 사과 레몬즙 볶음양념 맛간장 버터 소스 흑임자 플레인요거트 그라놀라 꿀
319	닭가슴살리조또	닭가슴살 찰보리 찹쌀 청피망 표고버섯 청양고추 양파 홍피망 생크림 우유 올리브오일 함초소금 고명 건조토마토
320	녹차귀리라떼	브로콜리 귀리 닭육수 우유 녹차가루 아몬드슬라이스 무염버터 흰후추 우유 생크림
321	계란숙샐러드	달걀 쇠고기 게맛살 감자 천연조미료 물 브로콜리 방울토마토 미니파프리카 영양부추 소스 매실청 발사믹식초 올리브오일 후추 식초
322	한식풍닭가슴살스테이크	닭가슴살 미나리 쌀 청경채 무조림 무 맛간장 고춧가루 물 소스 된장 매실청 들기름 검은깨
323	강황고구마밥	쌀 강황가루 고구마 닭육수 양념장 영양부추 간편 어간장
324	된장시금치옹심이	시금치 감자 애호박 당근 양파 청고추 홍고추 밀가루 국물 바지락 저염된장 볶은소금
325	족발수육	양념족발 고구마 가지 맥주 백김치 백김치 무침양념 참기름 통깨
326	함초떡갈비	갈은 소고기 갈은 돼지고기 당근 새송이버섯 함초 양파 샐러리 대파 참기름 통깨 함초소금 소스 발사믹식초 설탕 흰후추
327	삼색소면	가지색 소면분홍 흰색 씩 쪽파 청고추 홍고추 마늘 국물 다시마물 시조개 볶은소금 청주
328	돼지수육맑은전골	통삼겹 된장 통후추 팽이버섯 당근 배추 청경채 애호박 숙주 청양고추 육수 천연다시다 물 곁들이장 어간장 겨자 식초 깨
329	채소비빔밥	쌀 바지락 물 참기름 흰후추 애호박 양파 오이 당근 표고 두부볶음 두부 함초 깻잎 양파
330	열무김치파스타	파스타면 열무김치 오이 청홍고추 각각 노란 파프리카 양파 당근 생들기름 통깨 청양고추
